age,income,employment_status,credit_score,loan_amount,loan_term,existing_debts,payment_history,missed_emis,loan_approved,interest_rate
36,78424.87,0,581,47029.01,36,48574.6,59,0,0,15.56
41,39074.21,3,771,26361.83,48,5464.09,65,3,1,11.48
36,116191.89,3,582,20028.21,48,8296.42,61,1,0,12.53
39,61140.68,1,621,13915.36,36,2783.24,81,1,1,12.9
54,57859.64,3,766,48976.2,72,1788.36,72,0,1,9.14
29,41462.57,3,489,40429.35,60,12605.71,44,2,0,17.66
57,82448.11,3,740,19408.15,24,2032.03,55,3,1,11.49
44,39659.14,3,806,21538.83,12,15955.0,55,3,1,13.56
31,93887.01,3,660,32157.67,48,29025.44,81,0,0,9.75
38,73178.95,1,622,25209.55,72,15903.58,63,1,1,13.41
51,107171.94,2,661,17479.76,60,32749.83,80,0,1,11.27
41,108728.68,3,738,9200.72,60,15918.14,73,3,1,10.34
36,78191.18,3,697,17974.32,72,12793.56,87,0,1,9.5
29,41848.73,3,794,38393.23,36,52763.43,72,2,0,13.41
24,61058.23,1,564,17715.98,36,12897.53,46,4,0,17.06
35,114901.26,2,772,8446.21,36,2129.5,89,0,1,9.19
25,36086.99,3,742,64260.73,36,1774.66,57,2,1,12.2
48,52085.19,2,659,16724.81,36,31116.36,66,0,0,13.47
22,79886.74,2,737,16113.27,48,6050.8,69,3,1,12.04
45,86505.16,3,610,41352.99,36,4439.12,87,2,1,11.82
59,43953.94,3,600,8062.55,36,39234.21,67,2,0,14.27
27,59127.26,3,794,14644.21,48,12598.37,72,2,1,10.49
34,85026.18,3,691,16150.16,24,47093.39,91,1,1,11.87
37,25374.53,3,607,38173.57,36,1827.59,57,0,0,12.89
54,91068.92,3,541,69204.13,60,5601.42,61,0,1,11.96
45,18526.75,3,568,4700.07,36,14633.47,60,1,0,15.13
35,138019.81,3,648,32542.22,24,11804.13,74,0,1,10.67
55,40753.66,3,579,13469.83,36,20208.71,86,0,1,12.17
40,87834.21,3,651,23894.17,72,8795.27,85,0,1,10.48
49,98306.16,3,648,9469.69,72,58487.99,72,2,0,12.64
44,83461.58,3,661,8277.98,36,5956.86,37,3,1,13.71
49,49320.71,1,780,39621.47,120,10348.89,48,1,0,12.83
33,36559.66,3,534,26325.44,36,4996.56,57,2,1,14.41
30,77113.23,3,674,26715.89,24,7206.25,60,2,1,12.21
49,62964.32,3,820,8100.31,60,4203.64,47,1,1,8.59
43,41046.99,3,580,11256.73,48,15953.17,67,2,0,13.87
43,36738.98,2,518,51654.46,84,1846.02,95,0,0,12.56
18,160930.29,2,636,20599.71,60,16037.8,100,0,1,9.73
39,49658.69,3,521,83318.43,60,16037.64,67,3,0,17.04
49,62930.89,3,685,34117.81,72,10271.98,77,2,1,12.14
39,36523.01,3,611,33080.36,60,4959.18,98,0,1,9.95
42,80866.13,3,489,100000.0,84,33859.04,100,0,0,14.36
34,151627.72,3,632,20614.07,48,4333.0,85,0,1,9.72
35,77727.52,2,666,6643.37,60,14465.32,100,0,1,10.87
40,102600.03,0,567,22443.26,24,7194.4,76,1,0,15.16
37,28966.74,1,630,68436.5,48,23274.83,92,0,0,14.48
46,82559.56,3,699,100000.0,48,80000.0,77,0,0,13.64
35,70884.64,2,654,58307.6,24,7779.12,79,2,0,13.09
34,49362.6,2,763,51614.86,60,7099.41,68,1,1,10.83
33,64558.63,3,698,88905.96,48,5200.89,66,1,1,12.21
45,52204.11,3,581,26140.13,36,4402.18,59,1,1,11.95
43,70162.84,3,574,11550.25,120,3536.42,39,3,0,14.19
44,126257.84,3,767,61846.38,120,16222.2,67,2,1,11.34
27,66114.54,1,515,32949.45,84,74506.89,63,3,0,19.75
31,69277.87,2,510,37651.72,48,2326.04,48,2,0,15.4
54,69292.02,3,650,61199.8,36,11948.95,66,0,0,12.58
29,24692.19,2,616,27835.81,60,1735.99,17,3,0,16.0
46,77966.61,0,671,40764.46,24,23631.86,84,0,0,12.15
31,62910.29,2,636,3492.26,24,14966.0,77,0,1,12.14
27,52917.85,3,773,76410.25,36,7750.25,80,1,1,10.46
42,61573.23,2,633,28068.2,120,7396.97,85,0,1,11.34
52,121455.85,3,689,14926.4,60,7928.08,100,0,1,8.75
30,120710.24,3,762,5345.91,72,27724.52,81,0,1,9.12
48,79991.37,3,632,11358.09,60,40539.36,73,0,0,12.65
19,65932.71,3,533,59222.37,24,1858.62,45,3,0,16.11
29,168357.48,1,569,13230.03,36,3289.23,72,2,1,13.41
18,49560.57,3,662,100000.0,72,11423.81,26,3,0,14.96
34,50474.56,3,647,48264.45,120,27179.73,68,1,0,14.5
43,54464.12,2,724,29372.45,72,80000.0,76,0,0,13.16
34,93731.4,3,627,8448.27,60,13265.53,66,2,1,12.55
43,77449.45,3,551,23328.29,36,4693.74,73,0,1,13.11
41,26641.09,2,663,12323.87,48,4384.69,30,5,0,16.2
20,69846.17,3,789,8196.28,60,11397.31,43,3,1,11.09
31,45798.85,3,805,45190.29,48,12669.28,76,2,1,11.55
37,75792.01,2,543,11583.65,48,28092.42,47,0,0,14.58
37,29799.19,3,684,10938.33,48,10793.05,55,1,1,12.96
49,65094.27,3,651,41414.15,60,7081.16,65,1,1,13.14
30,31161.96,3,632,12116.3,36,5097.1,78,1,1,11.83
41,35125.55,2,608,11100.11,24,11517.45,65,0,0,13.31
31,28129.13,3,647,100000.0,60,50564.6,67,0,0,14.68
37,172437.1,2,553,24848.4,36,12715.58,42,3,0,16.31
55,67184.82,0,670,8170.32,24,2731.64,86,0,1,11.54
28,98355.3,0,610,74023.74,72,3094.87,78,1,0,14.51
33,84479.17,0,750,10605.42,24,2688.51,100,0,1,10.22
25,42501.29,1,651,13495.08,84,15099.66,70,2,0,14.95
38,69847.53,1,510,7226.96,60,73712.61,94,0,0,14.88
42,32375.25,2,710,100000.0,60,80000.0,52,1,0,16.29
59,73048.77,3,655,10276.6,36,39973.63,76,0,1,12.23
40,77058.64,3,549,8486.18,24,2597.24,42,1,1,14.38
37,45358.73,3,589,5435.3,36,11837.73,56,0,0,12.12
35,89555.22,3,659,39738.88,84,9327.63,100,0,1,9.8
35,87777.76,1,559,16791.64,60,6137.54,78,1,0,13.77
25,81641.68,3,724,25776.27,24,1860.79,39,4,1,11.72
35,113892.26,3,660,35096.28,72,26138.63,75,0,1,10.53
46,39839.41,2,682,7826.26,60,6756.62,81,1,1,11.31
49,42523.48,2,600,58753.85,84,16430.46,74,2,0,16.22
36,86805.02,3,415,7485.05,120,26786.78,46,1,0,16.11
31,52419.83,3,636,19646.77,36,15514.63,80,1,0,11.36
35,30320.76,3,561,5184.88,36,10468.93,63,1,0,12.76
45,69434.81,3,601,35292.53,36,9730.98,59,3,1,13.09
40,74724.12,1,835,16772.59,60,18985.12,97,0,1,8.85
52,75840.3,3,712,6374.12,60,4916.96,79,3,1,11.56
47,109244.27,2,610,19144.17,36,5667.86,75,0,1,11.5
41,57403.91,3,752,21820.08,12,4892.25,58,2,1,11.58
23,48652.01,3,587,20242.22,60,41770.51,100,0,0,12.84
18,23412.27,3,678,4515.71,72,4496.12,78,4,1,13.19
41,49800.04,3,721,41423.31,48,6002.88,74,3,1,12.95
40,15000.0,2,583,18410.33,120,45888.71,54,3,0,18.22
42,27699.33,3,707,19204.38,36,2846.21,79,2,1,11.97
31,71926.45,2,527,19026.68,60,9021.77,76,1,0,12.38
21,38395.9,2,704,46439.25,36,8859.02,47,1,0,13.94
27,86031.13,1,700,3736.42,72,3589.19,98,0,1,9.76
38,60526.0,2,595,15689.37,60,7170.06,40,1,0,13.31
29,80778.51,3,634,21904.17,36,26310.36,41,3,0,14.49
37,63329.98,3,651,6517.43,12,3245.72,61,5,1,13.51
40,98547.99,3,488,9860.07,60,1961.76,88,2,1,13.14
36,28259.54,3,772,23212.43,48,9118.42,82,1,0,10.73
37,37534.47,1,671,4664.13,36,1977.1,64,1,1,12.12
39,36833.58,1,723,18281.34,48,1711.93,73,0,1,10.33
34,30518.34,3,603,79888.55,36,7809.7,82,3,1,13.75
28,91482.53,3,538,54770.73,60,9198.03,32,4,0,16.1
32,44088.83,3,714,9582.52,36,9273.25,81,1,1,10.85
45,80160.49,3,698,6180.77,24,11367.21,92,1,1,8.15
30,147098.63,3,588,43056.43,36,4857.24,75,1,1,12.79
28,116102.88,3,642,48411.37,36,12509.4,64,0,1,11.56
45,78072.26,2,571,13752.26,24,10612.46,78,1,0,13.03
43,91271.7,3,721,24421.09,36,6480.69,70,1,1,9.63
48,50075.14,3,775,7734.33,60,5545.92,65,3,1,11.08
32,41280.14,3,592,15024.15,60,5814.25,100,0,1,10.79
24,75577.32,0,537,11538.03,48,9884.05,72,0,0,13.99
46,87494.38,2,678,13113.29,60,16086.02,97,1,1,11.25
36,68348.75,3,615,37067.24,48,5165.16,54,1,0,12.48
44,68959.42,2,718,6120.83,84,4972.54,79,1,1,10.33
40,24419.72,3,597,19880.55,72,4804.06,70,2,0,14.26
36,54055.61,1,546,63132.93,36,714.71,68,1,0,14.43
46,58898.41,3,795,30009.4,36,5532.6,96,1,1,8.02
24,67827.05,3,597,100000.0,36,22978.02,58,1,0,15.36
48,28582.25,3,650,13686.21,48,8769.51,53,2,1,13.91
53,61706.01,0,600,20251.8,48,1098.15,63,1,0,14.03
46,121989.14,1,669,11649.53,36,8011.9,98,0,1,10.13
45,97937.63,3,642,57315.43,24,4621.64,91,1,1,11.51
40,20022.37,2,731,46686.39,36,8191.8,48,1,0,14.14
31,43096.73,0,649,28282.89,36,3827.34,68,2,0,14.43
36,79860.62,3,717,53995.44,36,3963.45,99,0,1,8.16
28,43210.37,3,578,24110.83,48,8892.59,100,0,1,12.17
48,103163.7,3,601,36879.27,60,9073.38,76,0,1,11.44
33,97344.97,2,776,14151.33,12,7633.84,81,1,1,10.59
27,149040.18,2,812,31203.53,60,5313.59,100,0,1,8.54
23,19021.1,3,548,52634.57,48,3883.57,61,0,0,13.08
51,79697.27,1,541,15651.34,60,6570.47,71,1,0,14.84
20,141534.63,1,579,44016.62,84,9166.68,96,0,1,12.4
41,55609.99,3,532,33670.99,36,1537.13,53,2,0,13.68
49,69937.57,2,697,14418.91,120,989.6,57,2,1,11.99
35,22463.48,2,561,38987.18,36,3572.43,88,1,0,13.62
38,63237.72,3,720,18079.63,84,2554.22,69,1,1,10.09
28,110125.59,2,623,18609.58,36,17626.56,74,2,1,12.61
31,92886.99,3,715,27928.92,48,1221.27,46,3,0,13.64
32,106382.5,1,667,19709.27,48,9209.99,50,1,1,13.64
33,68987.83,3,690,24403.6,24,6394.36,36,4,0,13.23
31,16444.75,3,471,35492.15,60,5322.6,58,0,0,15.95
38,189872.5,1,725,11829.97,36,10944.58,100,0,1,10.0
34,80077.87,3,679,15248.58,84,6397.47,88,0,1,9.81
50,19634.14,3,592,100000.0,60,29439.59,94,0,0,14.5
29,208896.92,3,695,19329.3,36,8953.16,81,0,1,10.34
54,47449.54,3,611,25087.06,36,1673.36,62,1,1,13.68
44,34882.16,3,636,13930.6,36,6785.15,73,1,1,11.99
32,53454.78,1,764,7168.77,48,5616.81,77,1,1,10.04
33,76840.08,2,720,7763.76,12,3492.4,71,0,1,9.67
40,23654.75,3,747,19658.77,36,16750.95,68,0,0,12.61
28,87196.81,3,574,94510.31,48,2601.2,30,5,0,16.79
58,17687.05,3,614,36722.26,60,4291.72,66,4,0,15.52
34,52039.88,3,651,22191.79,48,59935.41,47,1,0,15.4
45,48674.56,2,628,22919.17,48,2817.66,65,1,1,13.42
43,45882.36,0,708,14762.78,60,1440.49,79,0,0,11.39
23,148626.37,2,537,25420.27,60,5805.33,51,4,0,16.83
43,45481.74,2,761,50405.77,36,9223.84,91,0,1,9.98
62,30556.1,3,633,39191.27,60,5795.21,96,0,1,10.85
49,29148.68,2,713,33971.13,120,3681.8,52,3,0,14.55
56,40428.08,2,676,3728.63,60,4388.83,70,1,1,10.3
49,250000.0,2,749,53811.98,48,8967.75,54,3,0,13.43
47,44792.9,1,601,9777.08,60,8259.1,78,0,0,12.4
39,30418.9,3,732,59315.54,48,3061.89,70,1,1,11.18
46,49784.41,3,556,22326.54,60,18340.09,71,0,0,13.11
28,44713.08,3,661,12604.98,24,15116.17,72,2,1,12.19
37,53869.49,3,608,27333.24,36,1836.42,78,0,1,10.28
39,40476.75,0,584,28856.34,60,11150.81,77,0,0,15.01
19,49830.95,2,712,3977.06,24,22655.6,58,3,0,14.43
39,84493.1,3,701,7816.72,36,6317.68,100,0,1,8.56
42,41371.9,1,666,77366.83,36,34250.24,68,1,0,14.98
65,124786.78,3,621,11353.41,48,10563.01,75,2,1,11.18
43,33413.08,3,662,78512.43,48,4793.86,63,2,0,12.29
27,98731.76,1,520,12327.47,60,18950.43,51,3,0,17.26
30,27929.23,3,609,7316.59,36,15921.46,72,0,0,13.37
39,44427.31,3,747,64470.81,60,17094.25,58,1,0,12.31
26,48964.63,2,608,6604.74,72,10597.22,61,1,1,13.27
42,50580.67,3,747,73290.2,120,4816.41,60,4,0,13.84
39,28526.2,2,647,18408.13,36,35899.22,63,3,0,17.34
41,68607.64,3,604,21542.54,36,12149.03,81,2,1,12.13
50,43149.36,2,619,76254.09,24,10630.18,100,0,1,12.15
28,30009.34,3,637,12413.49,84,32758.17,65,1,0,14.34
35,98086.93,0,781,5996.05,48,5984.71,63,1,0,10.49
21,47495.89,3,825,11971.88,24,8722.29,74,1,1,9.54
28,67963.47,3,560,27704.44,12,6640.8,68,0,1,11.84
50,60979.06,3,634,18726.09,120,3857.34,65,1,1,12.34
37,102643.36,0,402,14785.3,36,2232.45,69,4,0,18.62
28,93596.83,3,644,38200.08,12,2853.32,84,0,1,10.11
45,90756.06,1,637,17098.8,36,4272.21,91,1,1,12.99
40,59952.64,3,506,28879.87,48,5101.45,49,1,1,14.84
29,42114.65,3,756,53941.36,36,14020.88,37,2,0,13.04
34,166451.83,3,603,7264.48,72,9201.36,32,5,1,15.56
53,72415.18,2,726,41117.04,36,69590.85,52,2,0,14.78
26,88711.09,2,765,15818.03,48,5044.57,71,2,1,10.53
48,32184.53,3,601,21526.43,36,14334.03,97,0,0,11.71
36,75835.66,3,700,18204.14,36,39892.86,76,2,1,12.98
44,74032.72,0,709,11918.7,60,3171.1,48,3,0,15.66
37,119708.66,3,707,14473.27,60,36966.29,83,0,1,10.78
41,52532.99,2,657,30177.67,48,3900.17,46,2,0,14.09
34,54705.48,3,622,6038.25,36,70960.08,84,0,0,12.16
28,50298.35,3,603,79202.52,36,8813.27,74,0,0,12.6
52,75002.26,3,842,12877.91,48,54061.95,74,0,1,9.2
37,37518.46,3,697,52121.44,36,1855.58,98,0,1,9.46
54,36226.88,1,708,15606.08,48,27265.55,75,1,0,13.7
43,64111.72,3,776,33376.33,12,2941.68,100,0,1,7.05
30,73378.45,3,728,49554.13,24,13281.79,64,0,1,10.0
34,32514.75,1,569,35217.55,72,5110.88,100,0,0,14.43
36,68270.36,2,782,20685.91,36,10061.64,64,3,1,12.77
33,51285.98,3,716,12968.12,60,25743.8,87,1,1,11.57
19,109779.34,3,491,21889.89,36,6034.95,83,1,1,13.58
49,53982.9,3,743,28741.48,60,17955.13,79,0,1,9.91
27,35722.85,3,551,44390.42,36,22839.07,67,0,0,15.12
42,30474.57,3,761,28980.73,36,3181.32,69,0,1,10.45
45,49236.6,3,630,54498.28,60,1853.65,93,0,1,11.6
37,43277.83,3,746,34387.1,36,12595.38,100,0,1,8.92
34,31551.19,0,745,63260.96,48,3263.75,80,1,0,12.95
39,47624.68,1,567,11359.56,48,3520.23,58,3,0,15.51
48,58717.77,2,718,32713.81,36,23528.44,49,4,0,15.02
37,33045.02,3,758,34137.95,72,5848.0,63,2,0,11.94
42,43877.57,3,597,17016.08,72,1512.63,99,0,1,10.21
20,37438.14,3,552,73169.11,12,8005.0,63,3,0,15.28
28,45701.16,3,610,33028.57,84,1620.45,76,0,1,11.97
43,42915.57,3,705,63706.62,24,4211.29,44,5,0,15.51
50,59984.18,3,668,11883.41,36,3365.03,71,0,1,9.33
36,69309.31,2,651,24868.04,24,7190.54,55,2,0,13.05
37,93677.6,2,688,12087.48,36,5690.85,50,0,1,11.25
48,143328.68,0,686,32852.43,120,41721.06,33,4,0,16.64
39,64091.92,3,622,13842.4,48,5928.86,66,2,1,12.12
27,73056.52,2,813,22679.23,36,978.24,100,0,1,7.5
27,83718.66,3,748,29382.43,48,6722.34,75,2,1,10.17
46,62802.12,0,705,28146.13,24,5842.32,68,4,0,15.51
31,103050.79,3,652,35381.23,60,2379.26,33,6,0,15.85
33,21582.19,2,679,22275.97,36,3277.1,14,1,0,14.98
24,51954.87,2,640,15954.98,60,19324.02,66,3,0,14.53
40,29202.24,3,588,12461.11,48,9714.0,73,0,1,13.15
52,69547.53,1,626,5331.12,48,33847.18,43,6,0,16.88
55,89753.02,3,662,23601.52,12,21948.01,51,0,0,11.28
43,36180.79,1,696,29101.91,36,12104.36,98,0,0,11.53
22,147091.05,3,695,8191.84,48,1778.71,73,2,1,11.19
33,33097.01,2,631,15568.89,60,34147.9,78,0,0,15.32
29,89503.21,3,527,21606.77,48,16064.4,70,2,1,14.25
33,102242.67,0,679,3068.83,48,14518.26,57,4,0,14.84
43,71985.76,3,551,14108.72,36,2089.2,69,1,1,12.32
41,120944.38,3,674,15674.67,48,10349.28,39,3,0,12.18
36,92768.62,3,661,10078.75,36,23549.63,47,4,1,13.58
32,32151.5,1,679,19648.97,60,17024.39,87,1,0,13.66
37,73075.53,3,621,4366.42,48,4445.29,70,1,1,11.03
18,72756.17,3,640,8409.14,36,22014.66,57,3,1,13.41
53,110872.57,3,694,6645.62,48,6059.54,64,1,1,10.41
22,22958.15,3,647,14323.2,36,3481.58,53,0,1,12.26
33,66164.27,3,610,8477.13,36,1034.29,100,0,1,11.49
31,95904.77,3,575,15750.3,36,4891.9,68,0,1,11.9
45,44232.71,3,785,5703.75,36,16263.47,77,1,1,10.28
41,150883.72,3,624,9735.17,12,11246.07,62,0,1,10.85
42,65781.49,3,722,8451.35,48,6119.55,91,0,1,8.08
59,45249.4,3,538,15113.38,60,10815.47,42,2,0,15.2
42,18666.79,2,686,9851.86,36,6093.34,79,1,1,11.71
31,114708.55,0,607,19197.59,36,12282.91,45,1,0,13.94
18,56410.55,3,706,22538.56,36,2279.33,64,4,1,12.3
46,66548.77,3,685,55059.7,48,8522.84,84,0,1,9.96
32,107540.68,0,719,11737.43,36,8620.83,76,2,0,12.73
35,27874.31,0,796,32947.25,48,12563.44,64,0,0,12.9
54,183718.86,3,632,27444.32,36,10323.23,89,0,1,10.61
32,69603.53,3,625,31447.6,60,11967.83,51,2,1,13.09
68,62017.09,3,622,19191.8,24,19408.9,81,1,1,13.32
59,50763.21,0,628,16193.0,84,2983.46,61,2,0,15.1
35,51287.12,2,694,14005.32,60,15537.84,72,1,1,12.67
33,62651.68,3,693,8822.52,24,5789.16,72,1,1,10.08
42,106761.78,3,850,25002.06,48,1083.55,38,2,1,8.01
21,38270.5,3,503,57685.9,24,6442.8,56,1,0,15.2
46,79885.69,3,776,31581.59,36,8374.35,40,1,1,10.42
47,15000.0,3,736,15923.86,36,2432.13,84,1,1,11.05
28,36153.78,2,764,38775.47,36,1813.0,70,3,1,12.17
41,49096.11,3,707,6730.07,72,10623.41,67,0,1,10.54
34,23525.24,3,634,17177.04,60,2789.5,76,1,1,11.34
43,39854.84,3,688,8621.99,120,17055.4,73,3,1,13.57
36,23325.64,3,666,12959.81,24,1817.84,75,4,1,13.01
29,79210.71,0,646,23270.02,36,7766.51,47,2,0,15.08
28,126946.93,3,583,16255.96,60,67517.57,64,0,1,13.26
42,46194.65,3,589,31788.8,60,1652.54,69,0,1,12.48
38,81314.09,3,705,10922.7,24,7482.4,72,0,1,9.28
56,65671.42,3,707,34620.6,120,19121.59,71,0,1,11.03
40,45496.64,2,714,16397.68,48,8052.4,84,1,1,10.89
56,23972.36,3,577,50564.5,24,4570.78,77,1,0,12.46
37,105475.01,3,478,22927.04,60,7454.09,40,1,0,15.17
29,23102.29,2,630,90939.46,48,3031.0,61,2,0,14.45
44,48420.79,2,617,30179.19,48,15723.13,71,1,0,14.38
23,70990.88,1,509,19517.02,36,287.33,94,0,0,11.92
31,81738.12,2,659,32596.81,36,5755.85,89,0,1,11.14
22,27257.22,2,645,43431.0,60,20830.22,60,1,0,15.53
54,32280.98,2,714,10410.67,48,4249.17,54,1,0,11.7
22,46285.21,3,611,72281.28,36,4111.87,63,0,1,12.53
37,70829.24,3,671,23655.48,24,6240.79,40,1,1,11.89
29,106274.11,1,736,13208.65,84,28414.53,74,0,1,10.87
25,100285.71,3,811,22372.67,36,740.64,60,1,1,9.52
43,52043.53,3,533,14646.69,36,5517.1,58,3,0,14.65
18,35940.93,2,561,100000.0,48,25045.43,92,0,0,15.78
44,139583.1,3,549,84185.73,48,30897.02,64,2,0,15.78
30,47103.56,3,653,16109.73,36,7438.65,73,1,1,10.49
